Título:;Data:;Link:;Fonte:
Lajeado não paralisou doações para aguardar chegada de Lula | Aos Fatos;11/09/2023;https://www.aosfatos.org//noticias/doacoes-lajeado-nao-foi-paralisada-lula/;Aos Fatos
Vídeo de militares indígenas no 7 de Setembro é distorcido | Aos Fatos;08/09/2023;https://www.aosfatos.org//noticias/video-militares-indigenas-7-de-setembro/;Aos Fatos
Lula não virou as costas a general no 7 de Setembro | Aos Fatos;08/09/2023;https://www.aosfatos.org//noticias/falso-7-de-setembro-lula-costas-general/;Aos Fatos
Maduro não foi apedrejado recentemente durante desfile | Aos Fatos;06/09/2023;https://www.aosfatos.org//noticias/falso-maduro-agredido-desfile-militar/;Aos Fatos
Vídeo de Zé Trovão sobre greve de caminhoneiros é de 2021 | Aos Fatos;06/09/2023;https://www.aosfatos.org//noticias/video-ze-trovao-paralisacao-caminhoneiros-7-de-setembro-2021-nao-atual/;Aos Fatos
Vídeo mostra manifestação contra governador da PB, não Lula | Aos Fatos;06/09/2023;https://www.aosfatos.org//noticias/video-manifestacao-governador-paraiba-nao-lula/;Aos Fatos
Vídeo mostra protesto contra governo de AL, não contra Lula | Aos Fatos;05/09/2023;https://www.aosfatos.org//noticias/video-protesto-governo-alagoas-nao-lula/;Aos Fatos
Dino desinforma sobre Suprema Corte dos EUA para apoiar Lula | Aos Fatos;05/09/2023;https://www.aosfatos.org//noticias/dino-desinforma-sobre-suprema-corte-dos-eua/;Aos Fatos
É falso que aplicativo localize vacinados contra a Covid-19 | Aos Fatos;05/09/2023;https://www.aosfatos.org//noticias/falso-aplicativo-localiza-vacinados/;Aos Fatos
Decreto não aumentou alíquota do IR de 27,5% para 35% | Aos Fatos;04/09/2023;https://www.aosfatos.org//noticias/falso-decreto-aumentou-aliquota-do-ir/;Aos Fatos
Reportagem sobre rodovias obstruídas é de 2022, não recente | Aos Fatos;04/09/2023;https://www.aosfatos.org//noticias/reportagem-obstrucao-de-rodovias-2022-nao-recente/;Aos Fatos
PIB não cresceu mais em 2023 do que em 4 anos de Bolsonaro | Aos Fatos;04/09/2023;https://www.aosfatos.org//noticias/falso-pib-cresceu-mais-8-meses-que-4-anos-bolsonaro/;Aos Fatos
Bloqueio de verba do Ibama ocorreu durante governo Bolsonaro | Aos Fatos;04/09/2023;https://www.aosfatos.org//noticias/video-2022-bloqueio-verbas-ibama/;Aos Fatos
Idosa não cobrou Lula por corte de recursos de municípios | Aos Fatos;01/09/2023;https://www.aosfatos.org//noticias/video-idosa-lula/;Aos Fatos
Posts distorcem portaria que limita Bolsa Família | Aos Fatos;01/09/2023;https://www.aosfatos.org//noticias/falso-16-de-cada-100-beneficiarios-bolsa-familia/;Aos Fatos
Vídeo mostra protesto contra governo Zema, em MG, não Lula | Aos Fatos;01/09/2023;https://www.aosfatos.org//noticias/video-idosa-lula/;Aos Fatos
Vídeo não mostra protesto no Nordeste contra Lula | Aos Fatos;01/09/2023;https://www.aosfatos.org//noticias/video-protesto-zema-nao-lula/;Aos Fatos
MC Marcinho não esperou três anos por transplante de coração | Aos Fatos;01/09/2023;https://www.aosfatos.org//noticias/video-motos-protesto-manaus-nao-nordeste-contra-lula/;Aos Fatos
Post viral mente sobre Faustão ter furado a fila por coração | Aos Fatos;31/08/2023;https://www.aosfatos.org//noticias/mc-marcinho-nao-esperou-tres-anos-por-transplante/;Aos Fatos
É #FAKE que vídeo de minijacaré mostre animal de verdade | Fato ou Fake | G1;30/08/2023;https://www.aosfatos.org//noticias/falso-whatsapp-medicos-faustao-furou-a-fila/;Aos Fatos
Lula falseia dados sobre dívida de países da África | Aos Fatos;30/08/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/08/30/e-fake-que-video-de-mini-jacare-mostre-animal-de-verdade.ghtml;Fato ou Fake
Vídeo antigo de ato pró-Bolsonaro em MG circula como atual | Aos Fatos;29/08/2023;https://www.aosfatos.org//noticias/lula-falseia-dados-divida-paises-africanos/;Aos Fatos
É falso que representante da Otan fez ameaça ao Brasil | Aos Fatos;29/08/2023;https://www.aosfatos.org//noticias/video-manifestacao-bolsonaro-belo-horizonte-2022-nao-atual/;Aos Fatos
Lula engana ao dizer que Dilma foi absolvida de ‘pedaladas’ | Aos Fatos;28/08/2023;https://www.aosfatos.org//noticias/falso-representante-otan-ameaca-brasil/;Aos Fatos
Reportagem sobre alta da gasolina em 2022 circula como atual | Aos Fatos;28/08/2023;https://www.aosfatos.org//noticias/lula-engana-ao-dizer-dilma-foi-absolvida-pedaladas/;Aos Fatos
Lula não deixou de devolver contêineres de objetos à União | Aos Fatos;28/08/2023;https://www.aosfatos.org//noticias/reportagem-record-aumento-da-gasolina-2022/;Aos Fatos
É mentira que Bolsonaro nunca se encontrou com hacker | Aos Fatos;25/08/2023;https://www.aosfatos.org//noticias/falso-lula-deixou-de-devolver-11-conteineres-a-uniao/;Aos Fatos
Posts distorcem informação sobre vacina e nova variante | Aos Fatos;25/08/2023;https://www.aosfatos.org//noticias/falso-bolsonaro-nunca-se-encontrou-com-hacker/;Aos Fatos
É #FAKE que Lula não assinou lei de liberdade das igrejas | Fato ou Fake | G1;25/08/2023;https://www.aosfatos.org//noticias/cdc-nova-variante-coronavirus-vacina/;Aos Fatos
Lula não afirmou que fará loteamento da Amazônia | Aos Fatos;25/08/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/08/25/e-fake-que-lula-nao-assinou-lei-de-liberdade-das-igrejas.ghtml;Fato ou Fake
Vídeo de suposto arrastão em Copacabana é encenação | Aos Fatos;24/08/2023;https://www.aosfatos.org//noticias/falso-lula-loteamento-amazonia/;Aos Fatos
FDA não recomendou o uso de ivermectina contra a Covid-19 | Aos Fatos;24/08/2023;https://www.aosfatos.org//noticias/video-encenacao-influenciador-nao-arrastao-copacabana/;Aos Fatos
History não disse que incêndios no Havaí foram provocados | Aos Fatos;23/08/2023;https://www.aosfatos.org//noticias/falso-recomendacao-fda-ivermectina/;Aos Fatos
É #FAKE que incêndio mostrado em vídeo seja entre dois carros elétricos | Fato ou Fake | G1;23/08/2023;https://www.aosfatos.org//noticias/canal-history-incendios-havai-provocados/;Aos Fatos
Reportagem de 2022 sobre falta de diesel circula como atual | Aos Fatos;23/08/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/08/23/e-fake-que-incendio-mostrado-em-video-seja-entre-dois-carros-eletricos.ghtml;Fato ou Fake
Vídeo de Via Dutra bloqueada por caminhoneiros não é recente | Aos Fatos;22/08/2023;https://www.aosfatos.org//noticias/video-desabastecimento-de-diesel-2022/;Aos Fatos
Bolsonaro não disse que ‘entregará todos’ caso seja preso | Aos Fatos;21/08/2023;https://www.aosfatos.org//noticias/video-bloqueio-caminhoneiros-via-dutra-barra-mansa/;Aos Fatos
É falso que apagão elétrico causou 5.765 mortes em hospitais | Aos Fatos;21/08/2023;https://www.aosfatos.org//noticias/falso-bolsonaro-disse-entregar-todo-mundo/;Aos Fatos
É #FAKE que vídeo com versão de &#39,Bella Ciao&#39, signifique levante da direita internacional | Fato ou Fake | G1;21/08/2023;https://www.aosfatos.org//noticias/falso-apagao-eletrico-5765-mortes-hospitais/;Aos Fatos
Moraes não pediu prisão de autor de música que critica STF | Aos Fatos;21/08/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/08/21/e-fake-que-video-com-versao-de-bella-ciao-signifique-levante-da-direita-internacional.ghtml;Fato ou Fake
Hacker não confirmou que urnas podem ter sido adulteradas | Aos Fatos;18/08/2023;https://www.aosfatos.org//noticias/falso-autor-musica-critica-stf-preso-alexandre-de-moraes/;Aos Fatos
Ataque a torre de Furnas não tem relação com blecaute | Aos Fatos;18/08/2023;https://www.aosfatos.org//noticias/delgatti-cpmi-nao-confirma-urnas-eletronicas-adulteradas/;Aos Fatos
Decisão de compra de energia venezuelana é anterior a apagão | Aos Fatos;18/08/2023;https://www.aosfatos.org//noticias/ataque-a-torre-de-furnas-janeiro/;Aos Fatos
Vídeos não mostram raios laser provocando incêndios no Havaí | Aos Fatos;18/08/2023;https://www.aosfatos.org//noticias/decreto-energia-venezuela-apagao/;Aos Fatos
Justiça não negou prisão de Bolsonaro no caso das joias | Aos Fatos;17/08/2023;https://www.aosfatos.org//noticias/falso-videos-laser-incendios-havai/;Aos Fatos
É falso que presidente do Paraguai ignorou Lula | Aos Fatos;17/08/2023;https://www.aosfatos.org//noticias/falso-justica-negou-prisao-bolsonaro/;Aos Fatos
Lula não admitiu ter roubado 11 contêineres de presentes | Aos Fatos;16/08/2023;https://www.aosfatos.org//noticias/falso-presidente-do-paraguai-ignorou-lula/;Aos Fatos
Rui Costa desinforma sobre letalidade policial na Bahia | Aos Fatos;15/08/2023;https://www.aosfatos.org//noticias/falso-lula-confessou-roubar-conteineres/;Aos Fatos
É #FAKE que ator Humberto Martins e Anvisa recomendem medicamento para tratamento de próstata | Fato ou Fake | G1;15/08/2023;https://www.aosfatos.org//noticias/rui-costa-letalidade-policial-bahia/;Aos Fatos
Lula não mudou versão sobre por que teve que amputar dedo | Aos Fatos;15/08/2023;https://g1.globo.com/fato-ou-fake/noticia/2023/08/15/e-fake-que-ator-humberto-martins-e-anvisa-recomendem-medicamento-para-tratamento-de-prostata.ghtml;Fato ou Fake
Governo não autorizou ‘mudança de sexo’ a partir dos 14 anos | Aos Fatos;14/08/2023;https://www.aosfatos.org//noticias/fora-de-contexto-lula-dedo/;Aos Fatos
É #FAKE que PRF use drone para multar motoristas por excesso de velocidade | Fato ou Fake | G1;14/08/2023;https://www.aosfatos.org//noticias/ministerio-da-saude-nao-autorizou-mudanca-de-sexo-14-anos/;Aos Fatos
